@relation training

@attribute Text string
@attribute class-att {HR,FICO,LOG}

@data
"Mitarbeiter / Jörg Potthast PI # 857282 kann per System keinen Urlaub beantragen. Bei der Auswahl des Vorgesetzten wird ein Vorgesetzter vorgeblendet, der das U Mitarbeiter / Jörg Potthast PI # 857282 kann per System keinen Urlaub beantragen. Bei der Auswahl des Vorgesetzten wird ein Vorgesetzter vorgeblendet, der das Unternehmen schon vor längerer Zeit verlassen hat. Gem. Org.-Manager ist der richtige Vorgesetzte - Oliver Lang - zugeordnet.",HR
"Transport to JQL:  JELK984813 Transport to JQL:  JELK984813  ,  Changes into check format ",HR
"Release transport to JPL:  JELK984813 Release transport to JPL:  JELK984813",HR
"HelloI have some issues in ESS (approval). In PPOME the manager it´s correct, but in ESS show the old Manager (leaved the company)Thanks Hello I have some issues in ESS (approval). In PPOME the manager it´s correct, but in ESS show the old Manager (leaved the company)  Thanks",HR
"In the organization I depend on Plant Manager not on HR, and the approval of the ebp comes out depending on the Human Resources Department. So I understand that In the organization I depend on Plant Manager not on HR, and the approval of the ebp comes out depending on the Human Resources Department. So I understand that the structure of ebp should be modified.",LOG
"Readsoft Verify: bei User deriva kommt Fehlermeldung  Cannot find 'Country Profiles' in the GlobalParh Readsoft Verify: bei User deriva kommt Fehlermeldung  Cannot find 'Country Profiles' in the GlobalParh",FICO
"Not possible to change field  division  for part numbers 20094660 and 20094085. User wants to set it up to  01 .  Both materials are not maintained in JPA, the Not possible to change field  division  for part numbers 20094660 and 20094085. User wants to set it up to  01 .   Both materials are not maintained in JPA, therefore central Material MDA team was not able to support.  Because this field has no information, the user gets the following error when trying to post a transfer between plants process.",LOG
"See details in attachment See details in attachment",LOG
"1. Mir wurde im Juli eine Mitarbeiterin (Anja Franciszek) zugeordnet, aber ich sehe sie nicht im ESS in meiner Mitarbeiterliste. Daher kann ich keinen Urlaub fü 1. Mir wurde im Juli eine Mitarbeiterin (Anja Franciszek) zugeordnet, aber ich sehe sie nicht im ESS in meiner Mitarbeiterliste. Daher kann ich keinen Urlaub für sie genehmigen, Jahresgespräche durchführen etc. Seitens HR ist alles erledigt, daher ist dies wohl ein IT Problem.  2. Ich sehe mein eigenes PTM Ergebnis für 2017 nicht. Seitens HR & Vorgesetzen ist hier auch alles erledigt.",HR
"user needs to change his approver from Michal Masl to Vladislav Paznoht in EBP user needs to change his approver from Michal Masl (who has left the company) to Vladislav Paznoht  in EBP",LOG
"In der Einkaufsplanung im PAP werden die CSP Mengen verdreifacht In der Einkaufsplanung im PAP werden die CSP Mengen verdreifacht",LOG
"Preiskonditionen, die im Budget/Forecast geplant werden, und deren Material eine Quote benötigt, werden nicht mit quotiert. Preiskonditionen, die im Budget/Forecast geplant werden, und deren Material eine Quote benötigt, werden nicht mit quotiert.",LOG
"DRINGEND:   FEHLER im ESS bei Herrn Daichendt, User-ID: DAICHEN,Bei Herrn Daichendt treten drei unterschiedliche Fehler im ESS auf! (siehe Anhang)Bitte prüfen DRINGEND:   FEHLER im ESS bei Herrn Daichendt, User-ID: DAICHEN, Bei Herrn Daichendt treten drei unterschiedliche Fehler im ESS auf! (siehe Anhang) Bitte prüfen und beheben.",HR
" Nächster Bearbeiter für Benutzer GEBHARD zum Datum 20181010 nicht ermittelbar User hat das Unternehmen verlassen - neuer Genehmiger Christian Peine  Nächster Bearbeiter für Benutzer GEBHARD zum Datum 20181010 nicht ermittelbar  User hat das Unternehmen verlassen - neuer Genehmiger Christian Peine",HR
"Transport Request Please, transport the following request to JPL.  1) JELK984520 620   SOARESM      HR.09.27.2018-SOARESM-AJUSTE TERMO DE RESCISAO BPO SR1044738  Tks,  Marcelo Soares.",HR
"Dear Colleagues, South Africa team has been requesting automatically items/materials/services Purchase Orders through CTIM process (me32k) for a long time (In Dear Colleagues,   South Africa team has been requesting automatically items/materials/services Purchase Orders through CTIM process (me32k) for a long time (Indirect Material Purchases only). However, it is crucial for us that we convert every CTIM into Schedule Agreements (me32l) for us to obtain full knowledge and management of our processes (once we are now the responsible for South Africa).  Could you please support us on converting in mass those CTIM processes into Schedule Agreements?",LOG
"SAP EBP no working ( SR1066293) Access not possible error messages: Erro   No approver found for workflow   Erro   Linha 1: Entrar uma unidade de medida   Erro   Linha 1: No controlling could be determined   Info   Carrinho de compras  PEREIUL 10.10.2018 12:47  c/nº 1003004752 gravado corretamente    ",LOG
"I need to close a lot of wbs elements (see attached file) and I need help to close in a massive way. Thanks! Javier. I need to close a lot of wbs elements (see attached file) and I need help to close in a massive way. Thanks! Javier.",FICO
"ESS: Talent Management HR Mexico is not available ESS: Talent Management HR Mexico is not available SR971139 User also needs the access for US, due to new position +52 22222 3522167",HR
"By mistake we set the reason for rejection on order 46006033 and we need to undo the reason for rejection and set it to blank so we can invoice the inventory. T By mistake we set the reason for rejection on order 46006033 and we need to undo the reason for rejection and set it to blank so we can invoice the inventory. The system will not allow it.. We already have a purchase order created and we have inventory on the purchase order..  Why does the system require to delete the purchase order?  It will not allow us to set it to blank, why?",LOG
"we have a testing in EBT system, test user acount REQQAPCN01 was lock, Kindly unblock,thanks. we have a testing in EBT system, test user acount REQQAPCN01 was lock, Kindly unblock,thanks.",LOG
"Dear CIT HR,please kindly transfer below ticket from JEL to JQL. Thank you.JELK984858 620   ITELLSJ      Work schedule creation Dear CIT HR,  please kindly transfer below ticket from JEL to JQL. Thank you.  JELK984858 620   ITELLSJ      Work schedule creation",HR
"User has in EBP old approver User has a new manager, Nohad Ghosseini, in AD its changed, but in EBP there is still the old one - see screenshot",LOG
"Automatischer Fakturaversand per eMail Keine Papierrechnungen für den Kunden voestalpine Tubulars GmbH & Co. KG (Partnerrolle Rechnungsempfänger und Regulierer: Debitorenstamm 109749) Rechnungen sollen nur noch als PDF erstellt werden und an die hinterlegte Email-Adresse gesendet werden Verkaufsorganisationen: 2000",LOG
"kann im PEU im Cats für meinen user 7978 keine Stunden buchen kann im PEU im Cats für meinen user 7978 keine Stunden buchen",HR
"SAP-Bestellungen etc. via E-Mail Kred. LINCOLN - Details siehe Anlage===========================================================Computername: L5CG63864BZUser SAP-Bestellungen etc. via E-Mail Kred. LINCOLN - Details siehe Anlage =========================================================== Computername: L5CG63864BZ Username: grauvog OS: WIN_7(X64) Service Pack 1 IP-Addresses: 172.29.202.76 0.0.0.0 0.0.0.0 0.0.0.0 ProductID: L3C65AV ProductName: HP EliteBook 840 G3 Location: Schwandorf.DE.EMEA.Benteler AG Drive C (Total GB/Used GB): 237/101  I: \\AT-SADDFS01\Transfer K: \\AT-SADDFS01\Apps L: \\BAD\DFS\AT-SAD\Projects M: \\BAD\DFS\AT-SAD\DAT N: \\at-saddfs01\user$\GRAUVOG Z: \\hol-dfs01\dat",LOG
"SAP HR Transport from JEL to JQL (JELK984867) (Urgent) Hi SD  Please transport from JEL to JQL (JELK984867)",HR
"User can't choose Product Category in EBP User try to search for Product category, but he can't find there anything. He tried to search with the information (ID number 00108) from his colleague, but it's not working for him as well. Can you please check it?",LOG
"The document gap from 12001158 The document gap from 12001158",FICO
"Transport Request to JQL Please, transport the following request to JQL:  1) JELK984877 620 SOARESM HR.10.11.2018-SOARESM-HORARIO SOBREAVISO BPO INC0010644  Tks,  Marcelo Soares.",HR
"SAP HR Transport from JQL to  JPL (JELK984867) (Urgent) Hi SD  Please transport from JQL to JPL (JELK984867) (Urgent)",HR
"ESS Genehmigungsprozess wczc4351hw4 User can not approve. Screenshots added. Please verify this issue. Thank you.",HR
"betroffene SAP systeme alle (?!)Technischer Name weicht im englischen System ab Name ist identisch. Im deutschen System ist auch der Name unterschiedlich.Sieh betroffene SAP systeme alle (?!) Technischer Name weicht im englischen System ab Name ist identisch. Im deutschen System ist auch der Name unterschiedlich. Siehe Anhang S. 2 (S.1 ist die Beschreibung für die Werke um den technischen Namen anzeigen zu lassen)",LOG
"Anschrift Lieferant falsch. Kreditor 2006665 und  Debitor 5002116 korrigieren auf  Am Steinwerk . Anschrift Lieferant falsch. Kreditor 2006665 und  Debitor 5002116 korrigieren auf  Am Steinwerk .",LOG
"After shipment completion and saving the shipment ist giving ABAPdump occuring in SQ9 system, please find the screen shot. After shipment completion and saving the shipment ist giving ABAPdump occuring in SQ9 system, please find the screen shot.",LOG
"Transport Request to JQL Please, transport the following request to JQL:  1) JELK984906 620   SOARESM      HR.10.13.2018-SOARESM-BANCO DE HORAS SAO CAETANO  INC0010894  Tks,  Marcelo Soares.",HR
"Hello?I am from plant 0712. All the raw materials of 90001191 are running extra demand on April and July.  but there is no correspond demand of 90001191. Plea Hello?  I am from plant 0712. All the raw materials of 90001191 are running extra demand on April and July.  but there is no correspond demand of 90001191. Please help to check the reason and solve the problem.  It is urgent beacuse we need to place order for the vendor aboard within this week. thank you very much.",LOG
"Hallo,ich habe 4 Resturlaubstage im ESS eingereicht. Als Bearbeiter steht Herr Jäschke im Vorgang. Es muss aber Dr. Schaele sein. Ich kann das nicht auf Dr. Sc Hallo, ich habe 4 Resturlaubstage im ESS eingereicht. Als Bearbeiter steht Herr Jäschke im Vorgang. Es muss aber Dr. Schaele sein. Ich kann das nicht auf Dr. Schaele ändern. Ebenso kann ich die 4 eingereichten Vorgänge nicht löschen und neu erstellen. Es erscheint eine Fehlermeldung: WL/803",HR
"SAP HR Transport from JEL to JQL (JELK984911) Hi SD  Please transport from JEL to JQL. (JELK984911)",HR
"Transaction is not working in usual mode anymore. We cannot prepare VAT declaration at all.  We need it working the same way as J3RFSELB or J3RFPURB in the past Transaction is not working in usual mode anymore. We cannot prepare VAT declaration at all.  We need it working the same way as J3RFSELB or J3RFPURB in the past.",FICO
"Alte Mitarbeiterlisten in JPL löschen User hatt in JPL mehrere Mitarbeiterlisten, die veraltet sind, er bittet um die lösching der alten listen - sreenshot wird zugesendet.",HR
"Transport of requests - RU, HU Hello, 1) please help us to transport from JEL to JQL requests - RU: JELK984655  JELK984729  JELK984794  JELK984665 JELK984663   JELK984836  JELK984881    2) and from JQL to JPL requests - RU: JELK984518   3) Add the new program ZHRPY_RU_VUT and transaction ZHR_RU_VUT to the role ZEA0334PAHR_HR_PERS_RUSSIA  4) Please transport request for HU:  implementation of SAP note  --> JELK984827 620   ITELLBK      2018.10.10 327. HRHU - PY - SP09_2018  Thank you, Klara Trminkova",HR
"User cannot edit the purchasing order in step two(Shopping Cart), please see screenshot. User cannot edit the purchasing order in step two(Shopping Cart), please see screenshot.",LOG
"Fehlende Lieferantentexte auf Bestellungen Bei Katalog- Bestellungen (hier Bestellung an Fa. Lighthouse)  Werde die in der BANF angegebenen  Lieferantentexte  nicht auf dem Ausdruck der Bestellung aufgeführt. Dem Lieferanten fehlen wichtige Bestelldetails !",LOG
"Mat. 90081618, WK. 0356  ist ein EK-Material ohne Preis, das im Forecast pool enthalten ist. es gibt 2 Sources, die beide mit 100% für die Forecast-Monate quoti Mat. 90081618, WK. 0356  ist ein EK-Material ohne Preis, das im Forecast pool enthalten ist. es gibt 2 Sources, die beide mit 100% für die Forecast-Monate quotiert sind. das muß behoben werden",LOG
"SA can not be created inQAP SA can not be created inQAP",LOG
"SP9: Anlage neuer Lagerort SP9 neuer Lagerort für Werk 0416:  0416 / 0950 Ohio Logistics  Addresse: Ohio Logistics 400 N. Buckeye St, Bellevue,  OH 44811 USA  Begründung gem. Fr. Middel: Der Spediteur für die Mengen aus Rothrist wird umgestellt. Das Geschäft wird zuküntig (analog zu den deutschen Mengen) von Kühne und Nagel übernommen. Kühne und Nagel arbeitet mit einem Lager in Bellevue zusammen. Dieses Lager soll langfristig das Miller Warehouse in Jackson (MI) ersetzen. ",LOG
"HiI need to transport the order  JELK984460 to JPLThanks Hi I need to transport the order  JELK984460 to JPL Thanks",HR
"SAP HR Transport from JQL to JPL (JELK984911) Hi SD  Please transport from JQL to JPL (JELK984911)",HR
"Hi I need activate the Feature PLOGI, for all French Plants (0160, 0161, 0162, 0164, 0169) and all Employees (1, 3, 9)Thanks Hi  I need activate the Feature PLOGI, for all French Plants (0160, 0161, 0162, 0164, 0169) and all Employees (1, 3, 9) Thanks",HR
"Transport Request to JPL Please, transport the following request to JPL  1) JELK983884       SOARESM      HR.08.23.2018-SOARESM-AJUSTE HOLERITE AD.NOTURNO   SR1041683  Tks,  Marcelo Soares.",HR
"replace name of sales group user Li Yijia has left the company, so his name should be replaced in sales group with Lin Chao (linchao)",LOG
"Deletion of TD* order lines  It is possible to delete TD* order items, also if following documents exists. This was in the past not possible and may not be. See attachment for more info and example",LOG
"Print of PO is empty When the user tries to Print out some PO Documents the print out is empty. Also PDF generation is empty. Example PO 41194804 in PEU ",LOG
"Bitte Leitendenberechtigungen an Herrn Hahn und Herrn Berkemeier vergeben.  Siehe AnhangIm zweiten Anhang ist die Mail von Frau Tölle, dass Herr Bertelt die Fo Bitte Leitendenberechtigungen an Herrn Hahn und Herrn Berkemeier vergeben.  Siehe Anhang Im zweiten Anhang ist die Mail von Frau Tölle, dass Herr Bertelt die Formulare unterschreiben darf.  Vielen Dank.",HR
"The employee can not use annual vacation by ESS System. The employee can not use annual vacation by ESS System.",HR
"HiI need include the Absence (0150-Tiempo a compensar) and Quota (04-Horas de Compensacion) for 0174 Plant.Please could you include ?Thanks Hi I need include the Absence (0150-Tiempo a compensar) and Quota (04-Horas de Compensacion) for 0174 Plant. Please could you include ? Thanks",HR
"Der Job ZSD_VERSAND_BDE erzeugt unter dem User BATCHSD im SP9 massenweise Kurzdumps OBJECTS_OBJREF_NOT_ASSIGNED.Bitte dringend prüfenund abstellen. Der Job ZSD_VERSAND_BDE erzeugt unter dem User BATCHSD im SP9 massenweise Kurzdumps OBJECTS_OBJREF_NOT_ASSIGNED. Bitte dringend prüfenund abstellen.",LOG
